branch,sl,tp,pf,wr,total_pnl
along,40,100,0.0,0.0,-120
along,50,10,55.8,0.6269662921348315,2740
along,50,15,64.2,0.48089887640449436,3160
along,50,20,69.6,0.39101123595505616,3430
along,50,25,68.5,0.30786516853932583,3375
along,50,30,61.8,0.23146067415730337,3040
along,50,39,49.92,0.14382022471910114,2446
along,50,45,0.9,0.0022471910112359553,-5
along,50,50,1.0,0.0022471910112359553,0
along,50,60,0.0,0.0,-50
along,50,75,0.0,0.0,-50
along,50,100,0.0,0.0,-50
fliplong,5,10,0.46808510638297873,0.18333333333333332,-375
fliplong,5,15,0.574468085106383,0.15,-300
fliplong,5,20,0.624113475177305,0.12222222222222222,-265
fliplong,5,25,0.6382978723404256,0.1,-255
fliplong,5,30,0.5531914893617021,0.07222222222222222,-315
fliplong,5,39,0.4978723404255319,0.05,-354
fliplong,5,45,0.0,0.0,-705
fliplong,5,50,0.0,0.0,-705
fliplong,5,60,0.0,0.0,-705
fliplong,5,75,0.0,0.0,-705
fliplong,5,100,0.0,0.0,-705
fliplong,8,10,0.6086956521739131,0.3111111111111111,-360
fliplong,8,15,0.75,0.25555555555555554,-230
fliplong,8,20,0.8478260869565217,0.21666666666666667,-140
fliplong,8,25,0.8695652173913043,0.17777777777777778,-120
fliplong,8,30,0.8478260869565217,0.14444444444444443,-140
fliplong,8,39,0.7630434782608696,0.1,-218
fliplong,8,45,0.0,0.0,-920
fliplong,8,50,0.0,0.0,-920
fliplong,8,60,0.0,0.0,-920
fliplong,8,75,0.0,0.0,-920
fliplong,8,100,0.0,0.0,-920
fliplong,10,10,0.64,0.35555555555555557,-360
fliplong,10,15,0.795,0.29444444444444445,-205
fliplong,10,20,0.86,0.2388888888888889,-140
fliplong,10,25,0.9,0.2,-100
fliplong,10,30,0.9,0.16666666666666666,-100
fliplong,10,39,0.819,0.11666666666666667,-181
fliplong,10,45,0.0,0.0,-1000
fliplong,10,50,0.0,0.0,-1000
fliplong,10,60,0.0,0.0,-1000
fliplong,10,75,0.0,0.0,-1000
fliplong,10,100,0.0,0.0,-1000
fliplong,12,10,0.7549019607843137,0.42777777777777776,-250
fliplong,12,15,0.9117647058823529,0.34444444444444444,-90
fliplong,12,20,1.0196078431372548,0.28888888888888886,20
fliplong,12,25,1.0049019607843137,0.22777777777777777,5
fliplong,12,30,0.9411764705882353,0.17777777777777778,-60
fliplong,12,39,0.8794117647058823,0.12777777777777777,-123
fliplong,12,45,0.0,0.0,-1020
fliplong,12,50,0.0,0.0,-1020
fliplong,12,60,0.0,0.0,-1020
fliplong,12,75,0.0,0.0,-1020
fliplong,12,100,0.0,0.0,-1020
fliplong,15,10,0.7008547008547008,0.45555555555555555,-350
fliplong,15,15,0.8461538461538461,0.36666666666666664,-180
fliplong,15,20,0.905982905982906,0.29444444444444445,-110
fliplong,15,25,0.8974358974358975,0.23333333333333334,-120
fliplong,15,30,0.8461538461538461,0.18333333333333332,-180
fliplong,15,39,0.7666666666666667,0.12777777777777777,-273
fliplong,15,45,0.0,0.0,-1170
fliplong,15,50,0.0,0.0,-1170
fliplong,15,60,0.0,0.0,-1170
fliplong,15,75,0.0,0.0,-1170
fliplong,15,100,0.0,0.0,-1170
fliplong,17,10,0.7026143790849673,0.4777777777777778,-364
fliplong,17,15,0.8578431372549019,0.3888888888888889,-174
fliplong,17,20,0.8986928104575164,0.3055555555555556,-124
fliplong,17,25,0.8782679738562091,0.2388888888888889,-149
fliplong,17,30,0.8333333333333334,0.18888888888888888,-204
fliplong,17,39,0.7647058823529411,0.13333333333333333,-288
fliplong,17,45,0.0,0.0,-1224
fliplong,17,50,0.0,0.0,-1224
fliplong,17,60,0.0,0.0,-1224
fliplong,17,75,0.0,0.0,-1224
fliplong,17,100,0.0,0.0,-1224
fliplong,20,10,0.95,0.5277777777777778,-50
fliplong,20,15,1.17,0.43333333333333335,170
fliplong,20,20,1.2,0.3333333333333333,200
fliplong,20,25,1.15,0.25555555555555554,150
fliplong,20,30,1.11,0.20555555555555555,110
fliplong,20,39,1.014,0.14444444444444443,14
fliplong,20,45,0.0,0.0,-1000
fliplong,20,50,0.0,0.0,-1000
fliplong,20,60,0.0,0.0,-1000
fliplong,20,75,0.0,0.0,-1000
fliplong,20,100,0.0,0.0,-1000
fliplong,25,10,1.1,0.55,90
fliplong,25,15,1.3333333333333333,0.4444444444444444,300
fliplong,25,20,1.3333333333333333,0.3333333333333333,300
fliplong,25,25,1.2777777777777777,0.25555555555555554,250
fliplong,25,30,1.2333333333333334,0.20555555555555555,210
fliplong,25,39,1.1266666666666667,0.14444444444444443,114
fliplong,25,45,0.0,0.0,-900
fliplong,25,50,0.0,0.0,-900
fliplong,25,60,0.0,0.0,-900
fliplong,25,75,0.0,0.0,-900
fliplong,25,100,0.0,0.0,-900
fliplong,30,10,1.3076923076923077,0.5666666666666667,240
fliplong,30,15,1.5769230769230769,0.45555555555555555,450
fliplong,30,20,1.5384615384615385,0.3333333333333333,420
fliplong,30,25,1.4743589743589745,0.25555555555555554,370
fliplong,30,30,1.4230769230769231,0.20555555555555555,330
fliplong,30,39,1.3,0.14444444444444443,234
fliplong,30,45,0.0,0.0,-780
fliplong,30,50,0.0,0.0,-780
fliplong,30,60,0.0,0.0,-780
fliplong,30,75,0.0,0.0,-780
fliplong,30,100,0.0,0.0,-780
fliplong,40,10,2.477272727272727,0.6055555555555555,650
fliplong,40,15,2.9318181818181817,0.4777777777777778,850
fliplong,40,20,2.8181818181818183,0.34444444444444444,800
fliplong,40,25,2.6704545454545454,0.2611111111111111,735
fliplong,40,30,2.590909090909091,0.2111111111111111,700
fliplong,40,39,2.393181818181818,0.15,613
fliplong,40,45,0.0,0.0,-440
fliplong,40,50,0.0,0.0,-440
fliplong,40,60,0.0,0.0,-440
fliplong,40,75,0.0,0.0,-440
fliplong,40,100,0.0,0.0,-440
fliplong,50,10,22.4,0.6222222222222222,1070
fliplong,50,15,26.1,0.48333333333333334,1255
fliplong,50,20,24.8,0.34444444444444444,1190
fliplong,50,25,23.5,0.2611111111111111,1125
fliplong,50,30,22.8,0.2111111111111111,1090
fliplong,50,39,21.06,0.15,1003
fliplong,50,45,0.0,0.0,-50
fliplong,50,50,0.0,0.0,-50
fliplong,50,60,0.0,0.0,-50
fliplong,50,75,0.0,0.0,-50
fliplong,50,100,0.0,0.0,-50
